phrase_originale,nom1,nom2,determinant,nom1_lemme,nom2_lemme,definitude,type_jdm,est_valide,notes
le riz de thaïlande,riz,thaïlande,de,riz,thaïlande,False,r_lieu>origine,True,
le miel de france,miel,france,de,miel,france,False,r_lieu>origine,True,
le cours de mathématiques,cours,mathématiques,de,cour,mathématique,False,r_topic,True,
le manuel de physique,manuel,physique,de,manuel,physique,False,r_topic,True,
l'article de biologie,article,biologie,de,article,biologie,False,r_topic,True,
le livre d'économie,livre,économie,d',livre,économie,False,r_topic,True,
le tutoriel d'informatique,tutoriel,informatique,d',tutoriel,informatique,False,r_topic,True,
la vidéo de musique,vidéo,musique,de,vidéo,musique,False,r_topic,True,
le podcast d'histoire,podcast,histoire,d',podcast,histoire,False,r_topic,True,
le projet de linguistique,projet,linguistique,de,projet,linguistique,False,r_topic,True,
l'exposé de cuisine,exposé,cuisine,de,exposé,cuisine,False,r_topic,True,
la peinture d'un paysage,peinture,un paysage,d',peinture,un paysage,False,r_depic,True,
le dessin d'un visage,dessin,un visage,d',dessin,un visage,False,r_depic,True,
la photo d'une ille,photo,une ille,d',photo,une ille,False,r_depic,True,
la gravure d'un animal,gravure,un animal,d',gravure,un animal,False,r_depic,True,
le portrait d'un enfant,portrait,un enfant,d',portrait,un enfant,False,r_depic,True,
la maquette d'un bateau,maquette,un bateau,d',maquette,un bateau,False,r_depic,True,
le schéma d'un circuit,schéma,un circuit,d',schéma,un circuit,False,r_depic,True,
la carte d'une égion,carte,une égion,d',carte,une égion,False,r_depic,True,
la porte de la maison,la porte,la maison,de,la porte,la maison,False,r_holo,True,
la fenêtre de la maison,la fenêtre,la maison,de,la fenêtre,la maison,False,r_holo,True,
la roue de la voiture,la roue,la voiture,de,la roue,la voiture,False,r_holo,True,
le châssis de la fenêtre,le châssis,la fenêtre,de,le châssi,la fenêtre,False,r_holo,True,
le couvercle de la boîte,le couvercle,la boîte,de,le couvercle,la boîte,False,r_holo,True,
la coque du téléphone,coque,téléphone,du,coque,téléphone,True,r_holo,True,
la selle du vélo,selle,vélo,du,selle,vélo,True,r_holo,True,
l'aile de l'avion,l'aile,l'avion,de,l'aile,l'avion,False,r_holo,True,
la tour de paris,tour,paris,de,tour,pari,False,r_lieu,True,
le pont d'avignon,pont,avignon,d',pont,avignon,False,r_lieu,True,
le musée de paris,musée,paris,de,musée,pari,False,r_lieu,True,
l'université de lyon,université,lyon,de,université,lyon,False,r_lieu,True,
l'hôpital de nantes,hôpital,nantes,de,hôpital,nante,False,r_lieu,True,
le marché de marrakech,marché,marrakech,de,marché,marrakech,False,r_lieu,True,
la cathédrale de reims,cathédrale,reims,de,cathédrale,reim,False,r_lieu,True,
le travail de l'ouvrier,le travail,l'ouvrier,de,le travail,l'ouvrier,False,r_processus_agent,True,
la réparation du mécanicien,réparation,mécanicien,du,réparation,mécanicien,True,r_processus_agent,True,
le nettoyage de l'agent,le nettoyage,l'agent,de,le nettoyage,l'agent,False,r_processus_agent,True,
la peinture du peintre,peinture,peintre,du,peinture,peintre,True,r_processus_agent,True,
la taille du tailleur de pierre,la taille du tailleur,pierre,de,la taille du tailleur,pierre,False,r_processus_agent,True,
la sculpture de l'artiste,la sculpture,l'artiste,de,la sculpture,l'artiste,False,r_processus_agent,True,
l'assemblage de l'ouvrière,l'assemblage,l'ouvrière,de,l'assemblage,l'ouvrière,False,r_processus_agent,True,
l'écriture de l'auteur,l'écriture,l'auteur,de,l'écriture,l'auteur,False,r_processus_agent,True,
la traduction de la traductrice,la traduction,la traductrice,de,la traduction,la traductrice,False,r_processus_agent,True,
la réparation de la voiture,la réparation,la voiture,de,la réparation,la voiture,False,r_processus_patient,True,
le nettoyage de la maison,le nettoyage,la maison,de,le nettoyage,la maison,False,r_processus_patient,True,
la peinture de la porte,la peinture,la porte,de,la peinture,la porte,False,r_processus_patient,True,
la taille de la pierre,la taille,la pierre,de,la taille,la pierre,False,r_processus_patient,True,
la sculpture du bois,sculpture,bois,du,sculpture,boi,True,r_processus_patient,True,
l'écriture du texte,écriture,texte,du,écriture,texte,True,r_processus_patient,True,
la traduction du document,traduction,document,du,traduction,document,True,r_processus_patient,True,
le polissage du métal,polissage,métal,du,polissage,métal,True,r_processus_patient,True,
la clé d'ouverture,clé,ouverture,d',clé,ouverture,False,r_processus>instr-1,True,
le marteau de perçage,marteau,perçage,de,marteau,perçage,False,r_processus>instr-1,True,
le couteau de coupe,couteau,coupe,de,couteau,coupe,False,r_processus>instr-1,True,
la scie de coupe,scie,coupe,de,scie,coupe,False,r_processus>instr-1,True,
l'ordinateur d'écriture,ordinateur,écriture,d',ordinateur,écriture,False,r_processus>instr-1,True,
l'imprimante d'impression,imprimante,impression,d',imprimante,impression,False,r_processus>instr-1,True,
le laser de gravure,laser,gravure,de,laser,gravure,False,r_processus>instr-1,True,
le pinceau de peinture,pinceau,peinture,de,pinceau,peinture,False,r_processus>instr-1,True,
le livre du professeur,livre,professeur,du,livre,professeur,True,r_own-1,True,
la voiture du médecin,voiture,médecin,de,voiture,médecin,False,r_own-1,True,
la bague de la mariée,la bague,la mariée,de,la bague,la mariée,False,r_own-1,True,
la montre du sportif,montre,sportif,du,montre,sportif,True,r_own-1,True,
le stylo de l'étudiant,le stylo,l'étudiant,de,le stylo,l'étudiant,False,r_own-1,True,
les clés du concierge,clés,concierge,du,clé,concierge,True,r_own-1,True,
le passeport du voyageur,passeport,voyageur,du,passeport,voyageur,True,r_own-1,True,
une goutte d'eau,goutte,eau,d',goutte,eau,False,r_quantificateur,True,
un brin d'herbe,brin,herbe,d',brin,herbe,False,r_quantificateur,True,
une tasse de thé,tasse,thé,de,tasse,thé,False,r_quantificateur,True,
un kilo de riz,kilo,riz,de,kilo,riz,False,r_quantificateur,True,
un litre de lait,litre,lait,de,litre,lait,False,r_quantificateur,True,
une tranche de pain,tranche,pain,de,tranche,pain,False,r_quantificateur,True,
un morceau de fromage,morceau,fromage,de,morceau,fromage,False,r_quantificateur,True,
une poignée de sel,poignée,sel,de,poignée,sel,False,r_quantificateur,True,
un sac de farine,sac,farine,de,sac,farine,False,r_quantificateur,True,
un bouquet de fleurs,bouquet,fleurs,de,bouquet,fleur,False,r_quantificateur,True,
un grain de poivre,grain,poivre,de,grain,poivre,False,r_quantificateur,True,
l'ami de pierre,ami,pierre,de,ami,pierre,False,r_social_tie,True,
le collègue de marie,collègue,marie,de,collègue,marie,False,r_social_tie,True,
l'avocat d'ahmed,avocat,ahmed,d',avocat,ahmed,False,r_social_tie,True,
le parent de lucie,parent,lucie,de,parent,lucie,False,r_social_tie,True,
le camarade d'hugo,camarade,hugo,d',camarade,hugo,False,r_social_tie,True,
l'associé de sarah,associé,sarah,de,associé,sarah,False,r_social_tie,True,
le voisin de nora,voisin,nora,de,voisin,nora,False,r_social_tie,True,
le mentor de jules,mentor,jules,de,mentor,jule,False,r_social_tie,True,
le roman d'hugo,roman,hugo,d',roman,hugo,False,r_product_of,True,
le poème de rimbaud,poème,rimbaud,de,poème,rimbaud,False,r_product_of,True,
le tableau de monet,tableau,monet,de,tableau,monet,False,r_product_of,True,
la sculpture de rodin,sculpture,rodin,de,sculpture,rodin,False,r_product_of,True,
le portrait de picasso,portrait,picasso,de,portrait,picasso,False,r_product_of,True,
la symphonie de mozart,symphonie,mozart,de,symphonie,mozart,False,r_product_of,True,
le film de truffaut,film,truffaut,de,film,truffaut,False,r_product_of,True,
le dessin de cézanne,dessin,cézanne,de,dessin,cézanne,False,r_product_of,True,
un maison d'Ouro Preto,maison,ouro preto,d',maison,ouro preto,False,r_holo,True,
le maison de larésidence,maison,larésidence,de,maison,larésidence,False,r_holo,True,
le maison de laTrente,maison,latrente,de,maison,latrente,False,r_holo,True,
un maison de l'Hakodate,un maison,l'hakodate,de,un maison,l'hakodate,False,r_holo,True,
un maison d'Albèrtville,maison,albèrtville,d',maison,albèrtville,False,r_holo,True,
un maison de l'Esztergom,un maison,l'esztergom,de,un maison,l'esztergom,False,r_holo,True,
un maison de lacomplexe,maison,lacomplexe,de,maison,lacomplexe,False,r_holo,True,
un  maison de lacommune,maison,lacommune,de,maison,lacommune,False,r_holo,True,
un  maison de ladomaine,maison,ladomaine,de,maison,ladomaine,False,r_holo,True,
un maison d'Iakoutsk,maison,iakoutsk,d',maison,iakoutsk,False,r_holo,True,
le maison d'Oran,maison,oran,d',maison,oran,False,r_holo,True,
la voiture d'exposition,voiture,exposition,d',voiture,exposition,False,r_holo,True,
la voiture de latrain à grane vitesse,voiture,latrain à grane vitesse,de,voiture,latrain à grane vitesse,False,r_holo,True,
la voiture denoix de muscade,denoix,muscade,de,denoi,muscade,False,r_holo,True,
la voiture de lanoix muscade,voiture,lanoix muscade,de,voiture,lanoix muscade,False,r_holo,True,
une  voiture de laTrain à Grande Vitesse,voiture,latrain à grande vitesse,de,voiture,latrain à grande vitesse,False,r_holo,True,
l'arbre d'incendie,arbre,incendie,d',arbre,incendie,False,r_holo,True,
l'arbre de lafrégate,arbre,lafrégate,de,arbre,lafrégate,False,r_holo,True,
l'arbre de lapinède,arbre,lapinède,de,arbre,lapinède,False,r_holo,True,
l'arbre de l'arachidier,l'arbre,l'arachidier,de,l'arbre,l'arachidier,False,r_holo,True,
un arbre de laagarrigue,arbre,laagarrigue,de,arbre,laagarrigue,False,r_holo,True,
unè arbre de lanature,arbre,lanature,de,arbre,lanature,False,r_holo,True,
un arbre de lamoteur thermique,arbre,lamoteur thermique,de,arbre,lamoteur thermique,False,r_holo,True,
un arbre de l'acer,un arbre,l'acer,de,un arbre,l'acer,False,r_holo,True,
une arbre de lagarigue,arbre,lagarigue,de,arbre,lagarigue,False,r_holo,True,
une arbre deforêt des Hauts de l'Ouest,une arbre deforêt des hauts,l'ouest,de,une arbre deforêt des haut,l'ouest,False,r_holo,True,
les corps de l'oiseau-à-berceau,les corps,l'oiseau-à-berceau,de,les corp,l'oiseau-à-berceau,False,r_holo,True,
des corps d'Alexander Roslin,corps,alexander roslin,d',corp,alexander roslin,False,r_holo,True,
les corps de l'exaspérant,les corps,l'exaspérant,de,les corp,l'exaspérant,False,r_holo,True,
des corps de l'émeraude,des corps,l'émeraude,de,des corp,l'émeraude,False,r_holo,True,
des corps d'écrivassier,corps,écrivassier,d',corp,écrivassier,False,r_holo,True,
les corps de l'ure,les corps,l'ure,de,les corp,l'ure,False,r_holo,True,
des corps d'uniforme,corps,uniforme,d',corp,uniforme,False,r_holo,True,
les corps de l'Émile Bernard,les corps,l'émile bernard,de,les corp,l'émile bernard,False,r_holo,True,
des corps d'admoniteur,corps,admoniteur,d',corp,admoniteur,False,r_holo,True,
des corps de lacongréganiste,corps,lacongréganiste,de,corp,lacongréganiste,False,r_holo,True,
les corps d'olive,corps,olive,d',corp,olive,False,r_holo,True,
les corps de lacérithe,corps,lacérithe,de,corp,lacérithe,False,r_holo,True,
les corps de l'Histoire,les corps,l'histoire,de,les corp,l'histoire,False,r_holo,True,
l'homme de lavoiture,homme,lavoiture,de,homme,lavoiture,False,r_lieu,True,
une homme de lachorale,homme,lachorale,de,homme,lachorale,False,r_lieu,True,
une homme d'océan,homme,océan,d',homme,océan,False,r_lieu,True,
une homme de lamontagne,homme,lamontagne,de,homme,lamontagne,False,r_lieu,True,
une hmme d'Irak,hmme,irak,d',hmme,irak,False,r_lieu,True,
une homme demaison de retraite,demaison,retraite,de,demaison,retraite,False,r_lieu,True,
une homme de lacage,homme,lacage,de,homme,lacage,False,r_lieu,True,
une homme de lagendarmerie,homme,lagendarmerie,de,homme,lagendarmerie,False,r_lieu,True,
une homme de lagymnase,homme,lagymnase,de,homme,lagymnase,False,r_lieu,True,
une homme de lacachette,homme,lacachette,de,homme,lacachette,False,r_lieu,True,
l'homme de laferme,homme,laferme,de,homme,laferme,False,r_lieu,True,
l'homme dumaison de santé,dumaison,santé,de,dumaison,santé,False,r_lieu,True,
une homme de l'Asie,une homme,l'asie,de,une homme,l'asie,False,r_lieu,True,
un homme de latverne,homme,latverne,de,homme,latverne,False,r_lieu,True,
une homme dechamp de bataille,dechamp,bataille,de,dechamp,bataille,False,r_lieu,True,
une homme d'Athènes,homme,athènes,d',homme,athène,False,r_lieu,True,
une homme dumaison de fous,dumaison,fous,de,dumaison,fou,False,r_lieu,True,
une homme de laguerre,homme,laguerre,de,homme,laguerre,False,r_lieu,True,
une femme de lavoiture,femme,lavoiture,de,femme,lavoiture,False,r_lieu,True,
une femme de larade,femme,larade,de,femme,larade,False,r_lieu,True,
la femme de lasynagogue,femme,lasynagogue,de,femme,lasynagogue,False,r_lieu,True,
la femme de lacuisine,femme,lacuisine,de,femme,lacuisine,False,r_lieu,True,
la femme de lamaison de retraite,la femme de lamaison,retraite,de,la femme de lamaison,retraite,False,r_lieu,True,
une femme de larue,femme,larue,de,femme,larue,False,r_lieu,True,
la femme de laterre,femme,laterre,de,femme,laterre,False,r_lieu,True,
unê femme de lacantine,femme,lacantine,de,femme,lacantine,False,r_lieu,True,
la femme de larêve,femme,larêve,de,femme,larêve,False,r_lieu,True,
une femm de l'Athènes,une femm,l'athènes,de,une femm,l'athène,False,r_lieu,True,
une femme demaison de fous,demaison,fous,de,demaison,fou,False,r_lieu,True,
une femme de laparc zoologique,femme,laparc zoologique,de,femme,laparc zoologique,False,r_lieu,True,
uné femme d'Italie,femme,italie,d',femme,italie,False,r_lieu,True,
une femme de l'hôpital psychiatrique,une femme,l'hôpital psychiatrique,de,une femme,l'hôpital psychiatrique,False,r_lieu,True,
l'animal de lasavane,animal,lasavane,de,animal,lasavane,False,r_lieu,True,
l'animal de l'animalerie,l'animal,l'animalerie,de,l'animal,l'animalerie,False,r_lieu,True,
une animal de lamontagne,animal,lamontagne,de,animal,lamontagne,False,r_lieu,True,
une animal de l'élevage,une animal,l'élevage,de,une animal,l'élevage,False,r_lieu,True,
une animal de laplanète,animal,laplanète,de,animal,laplanète,False,r_lieu,True,
l'animal de l'hameau,l'animal,l'hameau,de,l'animal,l'hameau,False,r_lieu,True,
l'animal d'étable,animal,étable,d',animal,étable,False,r_lieu,True,
une animal de laporcherie,animal,laporcherie,de,animal,laporcherie,False,r_lieu,True,
une animal de l'arbre,une animal,l'arbre,de,une animal,l'arbre,False,r_lieu,True,
l'animal de laparc zoologique,animal,laparc zoologique,de,animal,laparc zoologique,False,r_lieu,True,
une animal de labiotope,animal,labiotope,de,animal,labiotope,False,r_lieu,True,
un animal de lacaverne,animal,lacaverne,de,animal,lacaverne,False,r_lieu,True,
une animal de lacirque,animal,lacirque,de,animal,lacirque,False,r_lieu,True,
une animal d'écurie,animal,écurie,d',animal,écurie,False,r_lieu,True,
un animal de laniche,animal,laniche,de,animal,laniche,False,r_lieu,True,
un animal de lavéhicule,animal,lavéhicule,de,animal,lavéhicule,False,r_lieu,True,
un animal d'épisode,animal,épisode,d',animal,épisode,False,r_lieu,True,
une animall de l'habitat,une animall,l'habitat,de,une animall,l'habitat,False,r_lieu,True,
une animall d'endroit,animall,endroit,d',animall,endroit,False,r_lieu,True,
les discours d'ennuyer,discours,ennuyer,d',discour,ennuyer,False,r_processus_agent,True,
des discours dumanquer de clarté,dumanquer,clarté,de,dumanquer,clarté,False,r_processus_agent,True,
des discours de l'être vaseux,des discours,l'être vaseux,de,des discour,l'être vaseu,False,r_processus_agent,True,
un travail d'améliorer,travail,améliorer,d',travail,améliorer,False,r_processus_agent,True,
le travail de l'enrichir,le travail,l'enrichir,de,le travail,l'enrichir,False,r_processus_agent,True,
un travail de laprodire,travail,laprodire,de,travail,laprodire,False,r_processus_agent,True,
le travail d'accomplir,travail,accomplir,d',travail,accomplir,False,r_processus_agent,True,
le travail d'épuiser,travail,épuiser,d',travail,épuiser,False,r_processus_agent,True,
un travail de l'effectuer,un travail,l'effectuer,de,un travail,l'effectuer,False,r_processus_agent,True,
un travail d'organiser,travail,organiser,d',travail,organiser,False,r_processus_agent,True,
un travail deprendre du temps,deprendre,temps,de,deprendre,temp,False,r_processus_agent,True,
lè travail durapporter de l'argent,lè travail durapporter,l'argent,de,lè travail durapporter,l'argent,False,r_processus_agent,True,
un travail de l'être difficile,un travail,l'être difficile,de,un travail,l'être difficile,False,r_processus_agent,True,
le travail dugénérer des revenus,dugénérer,revenus,de,dugénérer,revenu,False,r_processus_agent,True,
un travail de laréunion en ligne,travail,laréunion en ligne,de,travail,laréunion en ligne,False,r_processus_agent,True,
un travail d'être dur,travail,être dur,d',travail,être dur,False,r_processus_agent,True,
un travail d'utiliser logiciel,travail,utiliser logiciel,d',travail,utiliser logiciel,False,r_processus_agent,True,
une intervention d'arriver comme un cheveu sur la soupe,intervention,arriver comme un cheveu sur la soupe,d',intervention,arriver comme un cheveu sur la soupe,False,r_processus_agent,True,
une intervention d'être diifficile,intervention,être diifficile,d',intervention,être diifficile,False,r_processus_agent,True,
une intervention de l'être dur,une intervention,l'être dur,de,une intervention,l'être dur,False,r_processus_agent,True,
un action de lavivre,action,lavivre,de,action,lavivre,False,r_processus_agent,True,
un action de lasurprendre,action,lasurprendre,de,action,lasurprendre,False,r_processus_agent,True,
un action d'écrire,action,écrire,d',action,écrire,False,r_processus_agent,True,
un action d'avoir pour objectif,action,avoir pour objectif,d',action,avoir pour objectif,False,r_processus_agent,True,
l'oeuvre de l'inspirer,l'oeuvre,l'inspirer,de,l'oeuvre,l'inspirer,False,r_processus_agent,True,
l'oeuvre d'émouvoir,oeuvre,émouvoir,d',oeuvre,émouvoir,False,r_processus_agent,True,
un oeuvre de lavendre,oeuvre,lavendre,de,oeuvre,lavendre,False,r_processus_agent,True,
un oeuvre d'être nul,oeuvre,être nul,d',oeuvre,être nul,False,r_processus_agent,True,
un prjet d'en baver,prjet,en baver,d',prjet,en baver,False,r_processus_agent,True,
un projet d'échouer,projet,échouer,d',projet,échouer,False,r_processus_agent,True,
un projet d'être à bout de souffle,un projet d'être à bout,souffle,de,un projet d'être à bout,souffle,False,r_processus_agent,True,
le projet de l'achopper,le projet,l'achopper,de,le projet,l'achopper,False,r_processus_agent,True,
un projet de labattre de l'aile,un projet de labattre,l'aile,de,un projet de labattre,l'aile,False,r_processus_agent,True,
le projet d'avoir le soffle court,projet,avoir le soffle court,d',projet,avoir le soffle court,False,r_processus_agent,True,
le projet de larester lettre morte,projet,larester lettre morte,de,projet,larester lettre morte,False,r_processus_agent,True,
un projêt de l'être au point mort,un projêt,l'être au point mort,de,un projêt,l'être au point mort,False,r_processus_agent,True,
le projet de l'être essoufflé,le projet,l'être essoufflé,de,le projet,l'être essoufflé,False,r_processus_agent,True,
un projet de l'être hors d'haleine,un projet,l'être hors d'haleine,de,un projet,l'être hors d'haleine,False,r_processus_agent,True,
un projet demanquer de souffle,demanquer,souffle,de,demanquer,souffle,False,r_processus_agent,True,
le projet de l'accoucher d'une souris,le projet,l'accoucher d'une souris,de,le projet,l'accoucher d'une souri,False,r_processus_agent,True,
un film de ladistraire,film,ladistraire,de,film,ladistraire,False,r_processus_agent,True,
un film de l'ennuyer,un film,l'ennuyer,de,un film,l'ennuyer,False,r_processus_agent,True,
un film de lassurprendre,film,lassurprendre,de,film,lassurprendre,False,r_processus_agent,True,
un film de ladéplaire,film,ladéplaire,de,film,ladéplaire,False,r_processus_agent,True,
un film d'inspirer,film,inspirer,d',film,inspirer,False,r_processus_agent,True,
le film de laproduire,film,laproduire,de,film,laproduire,False,r_processus_agent,True,
un ilm d'effrayer,ilm,effrayer,d',ilm,effrayer,False,r_processus_agent,True,
un  film de l'envoûter,un film,l'envoûter,de,un film,l'envoûter,False,r_processus_agent,True,
un film de l'émouvoir,un film,l'émouvoir,de,un film,l'émouvoir,False,r_processus_agent,True,
le film de l'avoir du succès,le film de l'avoir,succès,du,le film de l'avoir,succè,True,r_processus_agent,True,
le film d'heurter,film,heurter,d',film,heurter,False,r_processus_agent,True,
le film de l'horrifier,le film,l'horrifier,de,le film,l'horrifier,False,r_processus_agent,True,
le film de l'empoigner,le film,l'empoigner,de,le film,l'empoigner,False,r_processus_agent,True,
le film d'amuser,film,amuser,d',film,amuser,False,r_processus_agent,True,
un film defaire de la peine,un film defaire,la peine,de,un film defaire,la peine,False,r_processus_agent,True,
le film dufaire du bruit,dufaire,bruit,du,dufaire,bruit,True,r_processus_agent,True,
le film d'envouter,film,envouter,d',film,envouter,False,r_processus_agent,True,
le film defaaire du foin,defaaire,foin,de,defaaire,foin,False,r_processus_agent,True,
le film de l'être nul,le film,l'être nul,de,le film,l'être nul,False,r_processus_agent,True,
le destruction de l'entreprendre,le destruction,l'entreprendre,de,le destruction,l'entreprendre,False,r_processus_patient,True,
un destruction d'annoncer,destruction,annoncer,d',destruction,annoncer,False,r_processus_patient,True,
le destruction d'éviter,destruction,éviter,d',destruction,éviter,False,r_processus_patient,True,
le destruction de ladurer plus longtemps que,destruction,ladurer plus longtemps que,de,destruction,ladurer plus longtemps que,False,r_processus_patient,True,
le construction de l'assurer,le construction,l'assurer,de,le construction,l'assurer,False,r_processus_patient,True,
le construction de l'entreprendre,le construction,l'entreprendre,de,le construction,l'entreprendre,False,r_processus_patient,True,
le construction d'empêcher,construction,empêcher,d',construction,empêcher,False,r_processus_patient,True,
le construction de ladétruire,construction,ladétruire,de,construction,ladétruire,False,r_processus_patient,True,
le cuisson d'arrêter,cuisson,arrêter,d',cuisson,arrêter,False,r_processus_patient,True,
un cuisson de l'accompagner,un cuisson,l'accompagner,de,un cuisson,l'accompagner,False,r_processus_patient,True,
la lecture d'adorer,lecture,adorer,d',lecture,adorer,False,r_processus_patient,True,
une lecture d'aimer,lecture,aimer,d',lecture,aimer,False,r_processus_patient,True,
la lecture de l'empêcher,la lecture,l'empêcher,de,la lecture,l'empêcher,False,r_processus_patient,True,
une analyse d'accélérer,analyse,accélérer,d',analyse,accélérer,False,r_processus_patient,True,
un outil d'élargir,outil,élargir,d',outil,élargir,False,r_processus>instr-1,True,
l'outil d'enterrer,outil,enterrer,d',outil,enterrer,False,r_processus>instr-1,True,
l'outil d'assembler,outil,assembler,d',outil,assembler,False,r_processus>instr-1,True,
l'outil d'excaver,outil,excaver,d',outil,excaver,False,r_processus>instr-1,True,
une outil d'utiliser,outil,utiliser,d',outil,utiliser,False,r_processus>instr-1,True,
une outil de l'adapter,une outil,l'adapter,de,une outil,l'adapter,False,r_processus>instr-1,True,
une outil de l'agir,une outil,l'agir,de,une outil,l'agir,False,r_processus>instr-1,True,
un outil d'arranger,outil,arranger,d',outil,arranger,False,r_processus>instr-1,True,
l'innstrument de larefaire,innstrument,larefaire,de,innstrument,larefaire,False,r_processus>instr-1,True,
une instrument d'orchestrer,instrument,orchestrer,d',instrument,orchestrer,False,r_processus>instr-1,True,
une instrument de lafaire de la musique,une instrument de lafaire,la musique,de,une instrument de lafaire,la musique,False,r_processus>instr-1,True,
un instrument dejouer de la musique,un instrument dejouer,la musique,de,un instrument dejouer,la musique,False,r_processus>instr-1,True,
une instrument dediffuser de la musique,une instrument dediffuser,la musique,de,une instrument dediffuser,la musique,False,r_processus>instr-1,True,
un appareil de laprendre,appareil,laprendre,de,appareil,laprendre,False,r_processus>instr-1,True,
l'appareil d'ouïr,appareil,ouïr,d',appareil,ouïr,False,r_processus>instr-1,True,
un appareil d'enregistrer,appareil,enregistrer,d',appareil,enregistrer,False,r_processus>instr-1,True,
une appareil d'avoir un cheveu sur la langue,appareil,avoir un cheveu sur la langue,d',appareil,avoir un cheveu sur la langue,False,r_processus>instr-1,True,
la force de lamusculaiire,force,lamusculaiire,de,force,lamusculaiire,False,r_has_property-1,True,
une force de latranquille,force,latranquille,de,force,latranquille,False,r_has_property-1,True,
la force de lavive,force,lavive,de,force,lavive,False,r_has_property-1,True,
la force de labrute,force,labrute,de,force,labrute,False,r_has_property-1,True,
la force d'hétérotrophe,force,hétérotrophe,d',force,hétérotrophe,False,r_has_property-1,True,
la force de ladonnée,force,ladonnée,de,force,ladonnée,False,r_has_property-1,True,
la  force de l'exercé,la force,l'exercé,de,la force,l'exercé,False,r_has_property-1,True,
la force de l'affriolant,la force,l'affriolant,de,la force,l'affriolant,False,r_has_property-1,True,
une force d'endotherme,force,endotherme,d',force,endotherme,False,r_has_property-1,True,
une  force de l'électrique,une force,l'électrique,de,une force,l'électrique,False,r_has_property-1,True,
une force de lajolie,force,lajolie,de,force,lajolie,False,r_has_property-1,True,
